Model_BN_1,Model_BN_2,Model_BN_3,Model_BN_4,RelErr_1,RelErr_2,RelErr_3,RelErr_4,RelErr_5,RelErr_6,RelErr_7,daics
0,0,0,0,-0.18343616516374,0.531242100606673,-0.439613054524135,NaN,0.134851682936942,0.82455079087691,-0.333139534883721,11.0902695829987
1,0,0,0,-0.183434900247241,0.531629770286878,-0.438918314446286,NaN,0.135119354348521,0.824379600173753,-0.333477315506351,13.0992611601366
0,1,0,0,-0.106588914786988,0.0578944654194939,-0.701937422736055,NaN,-0.119417808131135,0.679233193981191,0.0187093562435829,0
1,1,0,0,-0.0749785762429998,0.0419528507944471,-0.701921403197956,NaN,-0.124813519771336,0.676782460026556,0.0113747559505424,1.37413904373088
0,0,1,0,-0.00162649115249658,-0.124396290891858,-0.314841709614458,NaN,0.387528823074123,0.612835401824937,-0.184661634441205,7.3616143277886
1,0,1,0,-0.00156744795848129,-0.124211891734432,-0.313952802043401,NaN,0.387935973381081,0.612792490831634,-0.185027673819183,9.37509335717857
0,1,1,0,-0.0567407607552983,-0.0970577072228525,-0.593145107808956,NaN,0.0352013025320284,0.696379017568316,-0.00906604459778693,1.68648601451025
1,1,1,0,-0.0510003193223987,-0.0899426814992088,-0.581754668898869,NaN,0.0310631497791949,0.702105746328472,-0.0161741513159036,3.61719481427315
0,0,0,1,-0.183527903693358,0.534525344122837,-0.436338783987402,NaN,0.132089423697091,0.825637840858648,-0.334041233329148,13.1267308872672
1,0,0,1,-0.183527152757648,0.53491334911855,-0.435637880989546,NaN,0.132356129572078,0.825465137898063,-0.334378713170273,15.1357837846946
0,1,0,1,-0.145806288207531,0.17636352500918,-0.643121122644538,NaN,-0.180121856414714,0.50772329609625,0.0328037843694606,1.9925919688248
1,1,0,1,-0.074884344273593,0.0446636363022035,-0.69987991619795,NaN,-0.126857394270333,0.678451757977257,0.010348078316369,3.41785853232281
0,0,1,1,0.0086118848937109,-0.125960030623273,-0.254670288043575,NaN,0.369184823691806,0.619758936169947,-0.188121264451374,9.27974959562582
1,0,1,1,0.00866394454856101,-0.125774875853061,-0.253670929299493,NaN,0.36959148383477,0.619692237853172,-0.188488274374765,11.2933786597337
0,1,1,1,-0.0684109067173934,-0.131297169052085,0.0762092964142453,NaN,0.0652181392809745,0.543807814314273,-0.0253831891767494,2.21314848752792
1,1,1,1,-0.119088844912628,-0.0211630260403338,-0.199605693570002,NaN,0.04331801721391,0.391270583138842,0.00708147556360217,1.2502711088045
