data_date,cumulative_refugees,cumulative_refugees_UKR_MOL,ROM_MOL,ROM_MOL_cumulative
"February 24, 2022",6472,10928,4456,4456
"February 25, 2022",16041,28177,7680,12136
"February 26, 2022",26148,48332,10048,22184
"February 27, 2022",35712,70917,13021,35205
"February 28, 2022",41150,89957,13602,48807
"March 1, 2022",51515,114109,13787,62594
"March 2, 2022",66168,143536,14774,77368
"March 3, 2022",77365,173582,18849,96217
"March 4, 2022",85353,200755,19185,115402
"March 5, 2022",91871,227905,20632,136034
"March 6, 2022",91881,251299,23384,159418
"March 7, 2022",92378,271138,19342,178760
"March 8, 2022",91118,288606,18728,197488
"March 9, 2022",89042,301771,15241,212729
"March 10, 2022",84541,310832,13562,226291
"March 11, 2022",81495,318047,10261,236552
"March 12, 2022",71443,318047,10052,246604
"March 13, 2022",75076,330217,8537,255141
"March 14, 2022",76217,337215,5857,260998
"March 15, 2022",76399,344454,7057,268055
"March 16, 2022",75482,350886,7349,275404
"March 17, 2022",74208,355426,5814,281218
"March 18, 2022",73682,359056,4156,285374
"March 19, 2022",73552,362514,3588,288962
"March 20, 2022",70806,365197,5429,294391
"March 21, 2022",70406,367913,3116,297507
"March 22, 2022",69854,371104,3743,301250
"March 23, 2022",69545,374059,3264,304514
"March 24, 2022",68678,376748,3556,308070
"March 25, 2022",68450,379204,2684,310754
"March 26, 2022",68290,381395,2351,313105
"March 27, 2022",66714,383627,3808,316913
"March 28, 2022",66065,385222,2244,319157
"March 29, 2022",65611,387151,2383,321540
"March 30, 2022",64801,388837,2496,324036
"March 31, 2022",64046,390187,2105,326141
"April 1, 2022",63971,391592,1480,327621
"April 2, 2022",63976,392933,1336,328957
"April 3, 2022",63027,394740,2756,331713
"April 4, 2022",63221,396448,1514,333227
"April 5, 2022",63833,399039,1979,335206
"April 6, 2022",64155,401704,2343,337549
"April 7, 2022",64104,404257,2604,340153
"April 8, 2022",64316,406611,2142,342295
"April 9, 2022",65813,410882,2774,345069
"April 10, 2022",64452,411365,1844,346913
"April 11, 2022",64637,413374,1824,348737
"April 12, 2022",64971,415850,2142,350879
"April 13, 2022",64756,417650,2015,352894
"April 14, 2022",64564,419499,2041,354935
"April 15, 2022",64557,421130,1638,356573
"April 16, 2022",64361,422550,1616,358189
"April 17, 2022",64055,423852,1608,359797
"April 18, 2022",64069,425227,1361,361158
"April 19, 2022",64197,426964,1609,362767
"April 20, 2022",64216,428577,1594,364361
"April 21, 2022",64158,430170,1651,366012
"April 22, 2022",64099,431468,1357,367369
"April 23, 2022",64431,433214,1414,368783
"April 24, 2022",63929,433895,1183,369966
"April 25, 2022",64089,435275,1220,371186
"April 26, 2022",64509,437362,1667,372853
"April 27, 2022",63968,439290,2469,375322
"April 28, 2022",63498,441437,2617,377939
"April 29, 2022",63625,443559,1995,379934
"April 30, 2022",63500,446134,2700,382634
"May 1, 2022",62909,447604,2061,384695
"May 2, 2022",62013,448170,1462,386157
"May 3, 2022",61201,449605,2247,388404
"May 4, 2022",60321,450797,2072,390476
"May 5, 2022",59409,452038,2153,392629
"May 6, 2022",59047,453848,2172,394801
"May 7, 2022",57899,455418,2718,397519
"May 8, 2022",56911,456947,2517,400036
"May 9, 2022",56043,457066,987,401023
"May 10, 2022",55847,458242,1372,402395
"May 11, 2022",55685,459546,1466,403861
"May 12, 2022",55327,460782,1594,405455
"May 13, 2022",54745,461742,1542,406997
"May 14, 2022",53952,462572,1623,408620
"May 15, 2022",53231,463348,1497,410117
"May 16, 2022",53038,464294,1139,411256
"May 17, 2022",52867,465435,1312,412568
"May 18, 2022",52501,466406,1337,413905
"May 19, 2022",52474,467636,1257,415162
"May 20, 2022",52417,468998,1419,416581
"May 21, 2022",52052,470059,1426,418007
"May 22, 2022",51779,471223,1437,419444
"May 23, 2022",51732,472377,1201,420645
"May 24, 2022",51727,473690,1318,421963
"May 25, 2022",51510,475011,1538,423501
"May 26, 2022",51444,476290,1345,424846
"May 27, 2022",51849,477637,942,425788
"May 28, 2022",52852,478640,,425788
"May 29, 2022",53725,479513,,425788
