data_date,cumulative_refugees
"February 24, 2022",10928
"February 25, 2022",28177
"February 26, 2022",48332
"February 27, 2022",70917
"February 28, 2022",89957
"March 1, 2022",114109
"March 2, 2022",143536
"March 3, 2022",173582
"March 4, 2022",200755
"March 5, 2022",227905
"March 6, 2022",251299
"March 7, 2022",271138
"March 8, 2022",288606
"March 9, 2022",301771
"March 10, 2022",310832
"March 11, 2022",318047
"March 12, 2022",318047
"March 13, 2022",330217
"March 14, 2022",337215
"March 15, 2022",344454
"March 16, 2022",350886
"March 17, 2022",355426
"March 18, 2022",359056
"March 19, 2022",362514
"March 20, 2022",365197
"March 21, 2022",367913
"March 22, 2022",371104
"March 23, 2022",374059
"March 24, 2022",376748
"March 25, 2022",379204
"March 26, 2022",381395
"March 27, 2022",383627
"March 28, 2022",385222
"March 29, 2022",387151
"March 30, 2022",388837
"March 31, 2022",390187
"April 1, 2022",391592
"April 2, 2022",392933
"April 3, 2022",394740
"April 4, 2022",396448
"April 5, 2022",399039
"April 6, 2022",401704
"April 7, 2022",404257
"April 8, 2022",406611
"April 9, 2022",410882
"April 10, 2022",411365
"April 11, 2022",413374
"April 12, 2022",415850
"April 13, 2022",417650
"April 14, 2022",419499
"April 15, 2022",421130
"April 16, 2022",422550
"April 17, 2022",423852
"April 18, 2022",425227
"April 19, 2022",426964
"April 20, 2022",428577
"April 21, 2022",430170
"April 22, 2022",431468
"April 23, 2022",433214
"April 24, 2022",433895
"April 25, 2022",435275
"April 26, 2022",437362
"April 27, 2022",439290
"April 28, 2022",441437
"April 29, 2022",443559
"April 30, 2022",446134
"May 1, 2022",447604
"May 2, 2022",448170
"May 3, 2022",449605
"May 4, 2022",450797
"May 5, 2022",452038
"May 6, 2022",453848
"May 7, 2022",455418
"May 8, 2022",456947
"May 9, 2022",457066
"May 10, 2022",458242
"May 11, 2022",459546
"May 12, 2022",460782
"May 13, 2022",461742
"May 14, 2022",462572
"May 15, 2022",463348
"May 16, 2022",464294
"May 17, 2022",465435
"May 18, 2022",466406
"May 19, 2022",467636
"May 20, 2022",468998
"May 21, 2022",470059
"May 22, 2022",471223
"May 23, 2022",472377
"May 24, 2022",473690
"May 25, 2022",475011
"May 26, 2022",476290
"May 27, 2022",477637
"May 28, 2022",478640
"May 29, 2022",479513
