Date,Cumulative,Daily
"February 24, 2022",10928,10928
"February 25, 2022",28177,17249
"February 26, 2022",48332,20155
"February 27, 2022",70917,22585
"February 28, 2022",89957,19040
"March 1, 2022",114109,24152
"March 2, 2022",143536,29427
"March 3, 2022",173582,30046
"March 4, 2022",200755,27173
"March 5, 2022",227905,27150
"March 6, 2022",251299,23394
"March 7, 2022",271138,19839
"March 8, 2022",288606,17468
"March 9, 2022",301771,13165
"March 10, 2022",310832,9061
"March 11, 2022",318047,7215
"March 12, 2022",318047,0
"March 13, 2022",330217,12170
"March 14, 2022",337215,6998
"March 15, 2022",344454,7239
"March 16, 2022",350886,6432
"March 17, 2022",355426,4540
"March 18, 2022",359056,3630
"March 19, 2022",362514,3458
"March 20, 2022",365197,2683
"March 21, 2022",367913,2716
"March 22, 2022",371104,3191
"March 23, 2022",374059,2955
"March 24, 2022",376748,2689
"March 25, 2022",379204,2456
"March 26, 2022",381395,2191
"March 27, 2022",383627,2232
"March 28, 2022",385222,1595
"March 29, 2022",387151,1929
"March 30, 2022",388837,1686
"March 31, 2022",390187,1350
"April 1, 2022",391592,1405
"April 2, 2022",392933,1341
"April 3, 2022",394740,1807
"April 4, 2022",396448,1708
"April 5, 2022",399039,2591
"April 6, 2022",401704,2665
"April 7, 2022",404257,2553
"April 8, 2022",406611,2354
"April 9, 2022",410882,4271
"April 10, 2022",411365,483
"April 11, 2022",413374,2009
"April 12, 2022",415850,2476
"April 13, 2022",417650,1800
"April 14, 2022",419499,1849
"April 15, 2022",421130,1631
"April 16, 2022",422550,1420
"April 17, 2022",423852,1302
"April 18, 2022",425227,1375
"April 19, 2022",426964,1737
"April 20, 2022",428577,1613
"April 21, 2022",430170,1593
"April 22, 2022",431468,1298
"April 23, 2022",433214,1746
"April 24, 2022",433895,681
"April 25, 2022",435275,1380
"April 26, 2022",437362,2087
